"[0.011059045791625977, 0.0007715225219726562]"
"[0.010901212692260742, 0.0006759166717529297]"
"[0.010984182357788086, 0.0007500648498535156]"
"[0.010081291198730469, 0.0012710094451904297]"
"[0.010682344436645508, 0.0007417201995849609]"
"[0.010116100311279297, 0.0009131431579589844]"
"[0.01029825210571289, 0.0010943412780761719]"
"[0.01059412956237793, 0.0009031295776367188]"
"[0.010507822036743164, 0.0009436607360839844]"
"[0.010210275650024414, 0.0010945796966552734]"
"[0.011258602142333984, 0.0013124942779541016]"
"[0.012016773223876953, 0.0008935928344726562]"
"[0.011940240859985352, 0.0008518695831298828]"
"[0.011087656021118164, 0.0014154911041259766]"
"[0.010067939758300781, 0.0009751319885253906]"
"[0.011246204376220703, 0.0014982223510742188]"
"[0.010206460952758789, 0.0008068084716796875]"
"[0.01186823844909668, 0.0013017654418945312]"
"[0.010782957077026367, 0.0007448196411132812]"
"[0.0102996826171875, 0.0006735324859619141]"
"[0.011092185974121094, 0.00081634521484375]"
"[0.01092982292175293, 0.0010037422180175781]"
"[0.011346578598022461, 0.0009028911590576172]"
"[0.012009859085083008, 0.0008370876312255859]"
"[0.010454416275024414, 0.0007946491241455078]"
"[0.010087013244628906, 0.0006587505340576172]"
"[0.011749267578125, 0.0007736682891845703]"
"[0.010982751846313477, 0.00484156608581543]"
"[0.010209321975708008, 0.001186370849609375]"
"[0.01076960563659668, 0.0014433860778808594]"
"[0.01054525375366211, 0.0017642974853515625]"
"[0.012694597244262695, 0.0011487007141113281]"
"[0.01193547248840332, 0.0007386207580566406]"
"[0.010769844055175781, 0.0008127689361572266]"
"[0.01134037971496582, 0.0007569789886474609]"
"[0.011027812957763672, 0.0006780624389648438]"
"[0.011351823806762695, 0.0015332698822021484]"
"[0.012018442153930664, 0.0008420944213867188]"
"[0.010551929473876953, 0.0018923282623291016]"
"[0.010982036590576172, 0.0009360313415527344]"
"[0.010537385940551758, 0.0007376670837402344]"
"[0.011855840682983398, 0.001550912857055664]"
"[0.01108407974243164, 0.0008249282836914062]"
"[0.010998249053955078, 0.00103759765625]"
"[0.011223077774047852, 0.0007436275482177734]"
"[0.01131582260131836, 0.003286123275756836]"
"[0.012130498886108398, 0.0012705326080322266]"
"[0.013195991516113281, 0.0008652210235595703]"
"[0.010068178176879883, 0.0009067058563232422]"
"[0.010114192962646484, 0.0007140636444091797]"
"[0.010437488555908203, 0.0022149085998535156]"
"[0.010101079940795898, 0.0006592273712158203]"
"[0.01109766960144043, 0.0007188320159912109]"
"[0.010107755661010742, 0.0006928443908691406]"
"[0.010776996612548828, 0.0007967948913574219]"
"[0.010306358337402344, 0.0008471012115478516]"
"[0.011934518814086914, 0.0017101764678955078]"
"[0.013945817947387695, 0.0008883476257324219]"
"[0.010115623474121094, 0.0007278919219970703]"
"[0.011025190353393555, 0.0008084774017333984]"
"[0.013036966323852539, 0.0022423267364501953]"
"[0.011027812957763672, 0.0012047290802001953]"
"[0.010988950729370117, 0.0006952285766601562]"
"[0.011896371841430664, 0.0012629032135009766]"
"[0.010434627532958984, 0.0007197856903076172]"
"[0.010285139083862305, 0.00067901611328125]"
"[0.011729955673217773, 0.0007882118225097656]"
"[0.01068735122680664, 0.0013339519500732422]"
"[0.010111808776855469, 0.0007410049438476562]"
"[0.011128902435302734, 0.0012898445129394531]"
"[0.010466575622558594, 0.0011699199676513672]"
"[0.0111541748046875, 0.001516103744506836]"
"[0.011528491973876953, 0.0007462501525878906]"
"[0.012325763702392578, 0.0015859603881835938]"
"[0.010227203369140625, 0.0007345676422119141]"
"[0.010500192642211914, 0.0006744861602783203]"
"[0.010816335678100586, 0.0007781982421875]"
"[0.011782407760620117, 0.0021240711212158203]"
"[0.010608196258544922, 0.0008158683776855469]"
"[0.010394096374511719, 0.0006873607635498047]"
"[0.011485576629638672, 0.0009038448333740234]"
"[0.010688304901123047, 0.001008749008178711]"
"[0.010850667953491211, 0.0014867782592773438]"
"[0.012665033340454102, 0.0015494823455810547]"
"[0.010888338088989258, 0.0007698535919189453]"
"[0.01039743423461914, 0.0006785392761230469]"
"[0.01188349723815918, 0.000797271728515625]"
"[0.011639595031738281, 0.0012996196746826172]"
"[0.010217666625976562, 0.0009958744049072266]"
"[0.009902238845825195, 0.0007369518280029297]"
"[0.010900259017944336, 0.002124309539794922]"
"[0.012481927871704102, 0.0009446144104003906]"
"[0.010613441467285156, 0.0007531642913818359]"
"[0.010373592376708984, 0.0006768703460693359]"
"[0.010421037673950195, 0.0008933544158935547]"
"[0.010270357131958008, 0.000919342041015625]"
"[0.010993719100952148, 0.0010421276092529297]"
"[0.013663530349731445, 0.0029306411743164062]"
"[0.010331869125366211, 0.0007507801055908203]"
"[0.010825872421264648, 0.0009181499481201172]"
"[0.012810468673706055, 0.0009109973907470703]"
"[0.011526107788085938, 0.0015382766723632812]"
"[0.010308265686035156, 0.0010445117950439453]"
"[0.01044607162475586, 0.0012485980987548828]"
"[0.011155843734741211, 0.0014102458953857422]"
"[0.010411739349365234, 0.0012042522430419922]"
"[0.011246681213378906, 0.0010399818420410156]"
"[0.012862205505371094, 0.0020248889923095703]"
"[0.010916948318481445, 0.0007929801940917969]"
"[0.01123046875, 0.0019164085388183594]"
"[0.010144710540771484, 0.0007746219635009766]"
"[0.010382413864135742, 0.0007092952728271484]"
"[0.01064300537109375, 0.0008189678192138672]"
"[0.011288166046142578, 0.0015227794647216797]"
"[0.010773658752441406, 0.0007619857788085938]"
"[0.010930061340332031, 0.0012664794921875]"
"[0.010479450225830078, 0.0007524490356445312]"
"[0.011638879776000977, 0.002398252487182617]"
"[0.010367155075073242, 0.002125263214111328]"
"[0.010339021682739258, 0.0006532669067382812]"
"[0.010511636734008789, 0.0016100406646728516]"
"[0.01224064826965332, 0.002060413360595703]"
"[0.012302398681640625, 0.0018951892852783203]"
"[0.011550664901733398, 0.0007948875427246094]"
"[0.010416507720947266, 0.000843048095703125]"
"[0.010959148406982422, 0.0013909339904785156]"
"[0.010731697082519531, 0.0011882781982421875]"
"[0.012298107147216797, 0.0010662078857421875]"
"[0.011652231216430664, 0.0008344650268554688]"
"[0.01222372055053711, 0.0024688243865966797]"
"[0.010658502578735352, 0.0012001991271972656]"
"[0.01318812370300293, 0.0011568069458007812]"
"[0.010331869125366211, 0.0007424354553222656]"
"[0.01094508171081543, 0.0009546279907226562]"
"[0.01017308235168457, 0.0018374919891357422]"
